No,job no,spare parts,Ex.cost,Labor,Total
23,418,6950,8900,,15850
24,419,26500,,,26500
25,420,98670.82,21500,11200,131370.82
26,422,60571,,8000,68571
27,424,3800,,,3800
28,425,24280,,8800,33080
29,426,44619.04,,7500,52119.04
30,427,2950,,,2950
31,429,9800,12000,,21800
32,430,18000,,,18000
33,431,500,,1600,2100
34,434,36890,,6400,43290
35,435,50850,,3200,54050
36,436,10800,,,10800
37,440,1800,,200,2000
38,441,7850,6000,4400,18250
39,443,1400,60950,600,62950
40,444,22623,,2200,24823
41,445,8650,2800,,11450
42,446,,,2700,2700
43,447,900,,1300,2200
44,448,2856,,3750,6606
45,449,69000,,,69000
46,450,11500,,,11500
47,451,500,,1350,1850
48,452,54715,9000,5500,69215
49,455,,7480,,7480
50,456,,14480,,14480
51,457,22500,,,22500
52,458,8363.5,,4600,12963.5
53,459,22627,,3200,25827
54,462,36000,,3200,39200
55,463,38500,,3200,41700
56,464,1300,,800,2100
57,465,,,4100,4100
58,471,14639.5,,1600,16239.5
,,2142562.88,234810,228700,2606072.88
1,49,51010,28400,8000,87410
2,308,597929.02,104296,43850,746075.02
3,335,219500,250478.64,,469978.64
4,352,209101.29,,15800,224901.29
5,406,293121.24,,15700,308821.24
6,423,126906,8500,15350,150756
7,453,226210.35,261208.57,14400,501818.92000000004
8,461,170757.9,9880,8600,189237.9
9,466,1864,,1900,3764
10,467,116388.1,,12750,129138.1
11,472,70547.2,,4700,75247.2
12,473,20049,,,20049
13,476,18399,,1200,19599
14,478,47450,,,47450
15,480,79955,22500,9000,111455
16,481,2305,55550.51,2325,60180.51
17,482,24000,,,24000
18,484,7552,11000,12000,30552
19,488,28889.14,10000,2400,41289.14
20,489,235416,,10000,245416
21,490,19457,,3200,22657
22,491,31176,17000,8400,56576
23,492,4650.15,,2600,7250.15
24,493,281860.84,,15500,297360.84
25,495,2438.57,,1400,3838.57
26,497,163914.03,,11200,175114.03
27,498,,,800,800
28,499,84583.9,4500,,89083.9
29,500,4900,,6500,11400
30,501,98805.82,,5000,103805.82
31,502,,14000,,14000
32,505,97395.29,,21300,118695.29
33,506,56951.52,,7400,64351.52
34,511,70000,,1500,71500
35,512,4409.76,,800,5209.76
36,514,22025,4500,4400,30925
37,515,20025,,4400,24425
38,517,14300,,2750,17050
39,518,9061.6,,,9061.6
40,519,10224,,2850,13074
