Job no,Ref.,Vehicle,Repair Description,Start,End,Hrs,Cost,Site,Remarks
2024/4/R/281,24-281,ZA-6255,"Fuel system repair(replaced filter FC-1001, line filter, fuel filter blocked)",2024-04-26,2024-04-28,3,5450,Badalgama,
2024/4/R/282,24-282,LY-1614,"Brake repair(replaced air tank drain valve 3), ramp motor field coil repair, replaced brush set",2024-04-30,2024-07-12,13,28250,Badalgama,MNW
2024/4/R/283,24-283,LO-4821,"Wash & grease, replaced ait filter, speed meter sensor",2024-04-29,2024-04-30,8,27250,Bulnewa,MNW
2024/4/R/284,24-284,PH-0765,"Replaced F/RH upper arm & lower arm ball joints, rear all brake shoes, propellar shaft sliding joint, u-joints 2",2024-05-01,2024-05-04,44,48435,Katana,
2024/4/R/285,24-279,LK-2276,"Rear LH brake drum doesn't rotate, loosen brakes & check the brake cam doesn't return when release brakes.therefore lubricate brake cam & complete the repair",2024-05-02,2024-05-03,10,2300,Katana,
2024/4/R/286,24-280,RF-0748,"Clutch repair, adjusted brakes,replaced radiator hose, fuel leak repair, wash & grease",2024-04-30,2024-05-03,,27625,Mundalama Estate,2728Hr
2024/4/R/287,24-287,47-5112,"Replaced brake load sensing valve, adjusted brakes, replaced rear Hub seal,brake washer, brake shoe both sides",2024-05-01,2024-05-09,36,34769.75,Badalgama,294644Km
2024/4/R/288,24-283,LL-0936,"Replaced u-joint, sliding joint, PTO lever repaired,adjusted brakes, Elec. Repair(signal, wiper, tail light)",2024-05-05,2024-05-17,40,22870,Dekatana,196578KM
2024/4/R/289,24-586,HEX-23,Replaced RPM sensor,2024-04-30,2024-05-03,5,16500,cep-03,
2024/4/R/290,24-290,LD-06,"Replaced U-joint, pinio oil seal",2024-04-30,2024-05-03,18,39650,Muthur,
2024/4/R/291,24-291,DAH-2230,"replaced fuel tank pump, injector & low pressure pump Repair & service(replaced 3 nozzels),changed fuel filter",2024-05-07,2024-05-17,45,95500,Badalgama,208209Km
2024/5/R/292,24-285,HEX-01,"Radiator cleaned, repaired reserve tank, replaced high pressure pump, wash & grease, radiator hose extend, checked water pump, replaced air filter,starter switch, AC belt, AC compressor top up hy. oil,AC repair",2024-05-08,2024-05-22,88,233828,Muthur,11.5Hrs
2024/5/R/293,24-286,TM-13,"Replaced cabin door glass-Autobacs, Elec repair(tail light,replaced hr meter, wire harness, ), replaced battery 120A ,shooter repair, adjusted radiator fan guard, electric fuel feed pump fuel pipe repair",2024-05-11,2024-06-18,70,30965,Buttala,0Hr
2024/5/R/294,24-288,ASC-21,"Engine repair(Replaced connecting rod, piston with ring set, air filter)",2024-05-01,2024-05-09,18,26650,Katana,
2024/5/R/295,24-295,ZB-1547,"Loader & backhoe bucket repair, (replaced cutting edge), replaced stabilizer pads, king post nylon pads, elec. Horn 12v, ",2024-05-14,2024-06-08,88,46829,Dekatana,5303Hr
2024/5/R/296,24-289,LM-6653,"Clutch repair(Replaced c/plate, c/bearing, f/bearing,)replaced fuel overflow valve,crank oil seal, speed meter sensor",2024-05-13,2024-05-17,60,61250,Erawur,
2024/5/R/298,24-292,48-4849,"E/oil leak repaired (from breather hose),fixed recondition alternator",2024-05-13,2024-05-16,13,16990,Badalgama,
2024/5/R/299,24-583,LL-0920,"Radiator cleaning, water pump repair, replaced 3 fan belts, R/hose, hub brearing with seal",2024-05-16,2024-05-19,,19338,cep-03,SSO
2024/5/R/300,24-293,LA-1359,"starter motor repair, removed all brake drums, check liners, wheel cylinders, adjusted brakes, brake master pump repaired",2024-05-16,2024-05-20,16,3200,cep-03,
2024/5/R/304,24-294,LK-4061,"Engine overhaul(Replaced sleeve Z-2, Y-4, piston with ring set, con rod bearing, valve oil seal, head bolt 6, engine valve 12,valve guide set, con rod bush , cylinder head check & facing, engine repair-edirisinghe, injector service) , clutch repair(replaced clutch liner set, clutch bearing), Gear box repair (Top shaft bearing, bearing lock, lock cover, counter shaft bearing, gear box packing, bearing, F & R oil seal, genuine fork guide, top shaft bearing, bearing lock, lock cover, counter shaft bearing, clutch release bearing, ), speed meter assy.",2024-05-14,2024-06-06,226,426412.52,cep-03,
2024/5/R/305,24-296,LP-1582,"Adjusted brakes, wash & grease, abnormal color of diesel(removed fuel in the tank, replaced fuel filter ,w/sep filter, cleaned fuel pipes)",2024-05-20,2024-05-21,28,20500,kilinochchi,52546Km
2024/5/R/306,24-298,LK-5041,"replaced wiper link,wiper blades",2024-05-27,2024-05-27,2,3595,Badalgama,MNW
2024/5/R/307,24-299,SR-05,"wash & grease, made a silensor, wire harness repair, service, (oil, fuel ,air, hy. filter changed,), top up hy. oil., operating seat repair, replaced steering jack seal 2 nos, repaired vibration solenoid coil, checked vibration  & travelling system",2024-05-27,2024-06-07,84,60845,Badalgama,
2024/5/R/309,24-300,LP-1580,replaced e/mount & gear box mounts,2024-05-28,2024-05-30,8,26350,Erawur,
2024/5/R/310,24-304,DAH-2228,"starter motor repair(replaced motor clutch assy,)canopy repair-ex, side mirror",2024-05-17,2024-05-31,4,54040,asphalt team ,200045Km
2024/5/R/311,24-311,LH-5586,"Engine overhaul(Replaced Sleeve set, piston with ring set, main bearing set, big end bearing set, thrust bearing, gudgeon pin bush set, cam bush set, valve guide set, idler wheel bush, cam follower set, cam shaft, idle wheel thrust washer, valve spring retainer, oil pump,engine mount ,crank seal, oil pressure regulator valve, injector boot, valve cotter 12, air compressor piston ring set, bearing sea, packing set, accelerator spring , injector service, radiator cleaning, injector pump repair,), Clutch repair(pressure plate & flywheel facing, clutch bearing, clutch liner set, clutch fork lock, ), Gear box repair(counter wheel bearing, main shaft bearing, lock cover, gear box seal F & R, packing set, top shaft bearing,  ), belt A-56 2nos, Alternator repair(voltage regulator, brush set), oil presure meter, ",2024-05-28,2024-07-03,275,630236.75,cep-03,
2024/5/R/316,24-305,LO-5984,"service(oil ,fuel filter change, top up gear box pinion oil ), replaced benjo washer with bolt of filter head,fuel supply  hose of feed pump, fuel pump overflow valve, wash & grease ",2024-05-20,2024-05-28,36,26960,cep-03,1615C   112820Km
2024/5/R/317,24-317,40-8060,"replaced cable ball joint, gear cable bush, adjusted gear cable, replaced idle arm bush, fixed Hr meter, removed upper arm shims F/LH",2024-05-21,2024-05-28,14,16172,Badalgama,mnw
2024/5/R/324,24-324,PT-1569,S/motor repair(replaced contact pieces),2024-05-28,2024-05-28,3,2250,Katana,
2024/5/R/325,24-306,PA-4879,"Replaced electric fuel feed pump, heat timer, silensor packing, door post repair, light repair",2024-05-22,2024-05-28,13,11390,Muthur,MNW
2024/5/R/327,24-327,28-4314,"Service(oil ,fuel, air filter change)check gear box ,pinion oil, Replaced filter head(fuel filter), diesel hose, door winder repair, p/s oil hose tightened, F/brake caliper hose tightened, wash & grease, repaced accelerator cable",2024-05-27,2024-05-31,22,17636.82,Badalgama,
2024/5/R/331,24-331,253-2574,"Steering & suspension sys. Repair(lower arm ball joint, repaired both side upper arm ball joints, fitman arm ball joint, idle arm ball joint & bush)check wheel alignment, LH door glass fixed, service(diesel tank leak repair), ",2024-05-27,2024-05-28,27,19840,Serunuwara,409455Km
2024/5/R/332,24-307,325-5120,"Replaced rear LH  hub seal inner outer, cleaned brake wheel cylinder R LH, R/LH hub bolt, P/S belt 8490",2024-05-29,2024-06-06,28,24265,Badalgama,MNW
2024/5/R/332,24-332,MGS-01,"service, wash & grease , brake hose repair, top up B/oil , made a brake oil tank cap, replaced hy. brake hose 2 nos, alternator repair(replaced brush holder with regulator , ), replaced parking brake valve, brake repair, check all oil levels.",2024-05-31,2024-06-10,63,110832,solution,
2024/5/R/334,24-309,LK-4058,starter motor- Recondition,2024-05-28,2024-05-29,,32000,cep-03,
2024/5/R/335,24-335,LA-1359,Replaced vaccum brake booster-Recondition,2024-05-28,2024-05-31,,29950,cep-03,
2024/5/R/336,24-336,HEX-21,"Hy. leak repair, repaired hy. tank suction hose oil leak, top up hy. oil, replaced top roller",2024-05-28,2024-05-30,8,38800,Erawur,
2024/5/R/337,24-337,LL-0623,Vehicle cleaning,2024-05-31,2024-06-10,18,10502.5,Badalgama,
2024/5/R/338,24-310,PY-2408,"Replaced radiator fan , fan belt, alternator belt, water pump repair(replaced water seal kit, bearing 2 nos, pum pshaft turning out), wash & grease",2024-06-01,2024-06-10,38,26903.5,Katana,MNW
2024/5/R/339,24-316,DAH-2228,"Replaced rear all brake liners,P/S belt",2024-06-01,2024-06-06,17,9850,Asphalt team,200278Km
2024/5/R/340,24-325,LO-4816,"Replaced PTO lever, checked sump oil leak, wash & grease, replaced air filter, Elec. Repair(signal), no need to replaced sump packing immediately",2024-05-29,2024-05-29,17,34778,cep-03,MNW
2024/5/R/341,24-341,LO-8348,"Service, wash & grease, axel oil leak repair, check accelerator cable",2024-05-29,2024-05-30,9,9575,cep-03,MNW
2024/5/R/342,24-342,ASC-24,"Engine repair(Re-boring, piston rings, gasket, spark plug, E/oil)",2024-06-01,2024-06-26,24,33994.18,kadawatha,
2024/5/R/343,24-332,HEX-33,"Replaced bucket jack seal ,top up hy. oil, E/oil, Travelling motor oil",2024-05-29,2024-05-30,16,42892.5,Erawur,
2024/5/R/344,24-344,HEX-18,"travelling motor oil leak-tightened union with hose, hy.leak repair, starter motor repair",2024-06-03,2024-07-19,36,13176,Mundalama Estate,
2024/5/R/345,24-602,RS-0483,welded shims for U-joint caps & stopped U-joint movement in th Yoke,2024-05-31,2024-05-31,10,2800,Marandagahamula,
2024/5/R/346,24-346,HEX-39,"Hy. oil cooler leak repair, hy. hose, change R/coolant, AC filter, High /low gear selector oil leak repair, top up hy. oil ,replaced R/hose",2024-06-03,2024-06-13,58,74642,Biyagama,5193Hr
2024/5/R/347,24-334,ZB-1979,"Turbocharger repair, injector cleaning, changed fuel filter, water seperator, silensor cleaning, backhoe bucket arm end & bucket pin filling ,turning out, replaced bushes 45x55x42mm 8nos, 45x60x60 mm 2 nos, wash &  grease, fuel system check & repair",2024-06-03,2024-06-28,110,110800,Dekatana,4828Hr
2024/5/R/348,24-338,LK-5041,"wiper motor replaced -recondition, replaced winder assy. New, starter motor repair(solenoid coil wire welding-soldering work)",2024-06-05,2024-06-07,11,26375,Badalgama,MNW
2024/5/R/349,24-339,ZA-8337,"hy. pump housing, 4WD propellarshaft yoke, u-joints, sliding joint,trans, seal,  rear axel u-bolt , service( change trans,  oil with filter, oil filter, fuel filter, top up hy. oil), Elec .repair(light, battery charging, s/motor. Hr meter, horn), ",2024-08-05,2024-06-26,106,495890,cep-03,
2024/6/R/350,24-599,40-8060,"repaired gear engage problem, fixed Hr meter, 1 st service after engine overhaul, elec. Repair(tail light), removed shims of upper arm",2024-06-05,2024-06-10,22,13000,Badalgama,MNW
2024/6/R/351,24-340,VR-49,"changed silensor assy, replaced air filter, inlet manifold repair, E/oil change, check & repair vibration sys. Radiator leak repair, injector with pump repair",2024-06-07,2024-06-11,18,19744,Dekatana,
2024/6/R/352,24-592,LK-6740,"starter motor repair, no tipping(check Hy. elec. System for PTO operating",2024-06-07,2024-06-15,28,13176,Dekatana,MNW
2024/6/R/353,24-597,51-7158,"replaced side door handle, winder handle, sliding door bearing, heat timer, heater plug 4nos, wash & grease, elec repair(tail light, signal)",2024-06-06,2024-06-14,72,36195,Dekatana,379616Km
2024/6/R/354,24-587,ZB-2587,"service, greasing(change oil, fuel air filters), top up hy. oil",2024-06-06,2024-06-06,5,18400,Kebithigollawa,1759HR
2024/6/R/355,24-343,LI-3401,P/S pump oil leak-Ex,2024-06-08,2024-06-12,,5500,cep-03,
2024/6/R/356,24-345,LI-7620,"Turbocharger repair-(Ex Mendis Kandana), air hose, turbo hose clips",2024-06-08,2024-06-14,,77400,cep-03,
2024/6/R/357,24-347,PJ-6376,"disemble rear brake drum clean & assemble, lubricate gear cable, repaired air leak from vaccume pump",2024-06-08,2024-06-10,28,8750,Badalgama,235516Km
2024/6/R/358,24-589,48-4849,"Engine ovehaul(water pump R/kit, cam fillower set, idle wheel thrust washer, bolt lock set, air compressor R/kit, oil pressure relief valve, overhaul gasket kit, oil pump, comp. piston ring set, rocker arm braket, r/mount, E/mount, crank oil seal, top shaft bearing,piston ring set,,silensor packing ,pinion seal, main bearing set, big end bearing set, thrust bearing, sleeve set, cam bush set, valve guide set, gudgeon pin bush set, cam shaft, crank sleeve, idle wheel bush, cam plate, compressor-recondition, comp. bearing, r/hose, ), injector service & repair, radiator repair, water reserve tank repair, egine repaire-Edirisinghe,   ",2024-06-08,2024-07-31,258,609613.24,Badalgama,
2024/6/R/360,24-348,SL-03,"Bucket pin repair, starter switch",2024-06-08,2024-09-07,23,9037,Dekatana,2716Hr
2024/6/R/361,24-349,LO-4824,"service, check fuel & trans. System, injector serviced by AGM",2024-06-08,2024-06-15,28,8200,Badalgama,64227Km
2024/6/R/362,24-350,LH-5475,Replaced clutch slave cylinder assy.,2024-06-08,2024-06-11,4,8986.25,Badalgama,MNW
2024/6/R/363,24-351,LP-1566,"adjusted brakes, service",2024-06-09,2024-06-10,1,370,cep-03,
2024/6/R/364,24-352,LC-0434,"Brake hoses & wire harness damaged due to combination with propellaer shaft, disemble & repair, fuel filter leak repair, wash & grease",2024-06-09,2024-06-11,29,11060,Badalgama,MNW
2024/6/R/365,24-353,VR-44,"wash & grease, service, replaced water pump seal, check vibration & travelling, travelling lever repair",2024-06-10,2024-06-16,72,28300,cep-03,MNW
2024/6/R/366,24-354,LI-7701,"replaced tipping jack -recondition, elec. Repair(replaced fuse box, horn , etc), replaced clutch pump up, adjusted gear linkage, check brakes, wash & grease",2024-06-10,2024-06-27,55,120400.5,cep-03,MNW
2024/6/R/368,24-355,SL-25,"service, wash & grease",2024-06-10,2024-06-12,5,3375,Dekatana,1257Hr
2024/6/R/370,24-356,LN-9046,"Replaced king pin R/.kit, service, elec. Repair(horn), tir rod end R/kit, shock bush 4, shock absorber 2",2024-06-11,2024-06-16,40,68415,Buttala,131511Km
2024/6/R/371,24-357,LN-8278,checked wheel alignment & shock absorbers,2024-06-11,2024-06-11,1,2850,Badalgama,867145Km
2024/6/R/372,24-358,TB-15,"replaced axel bearing inne, outer, hub greasing, water pump E/oil change, carb replaced clean plug, carb tune up",2024-06-11,2024-06-14,14,17568,kadawatha,
2024/6/R/373,24-360,GE-156,"stand making for stand up, the gnerator, replaced starting rachet, -used, change E/oil carb clean, check spark plug, clean, check poer out put",2024-06-11,2024-06-11,16,7497,Katana,
2024/6/R/374,24-361,LM-7949,Brake drum facing-2nos,2024-06-11,2024-06-12,8,3000,cep-03,
2024/6/R/375,24-362,SR-08,drum mount 9nos,2024-06-11,2024-06-30,,83700,cep-03,SSO
2024/6/R/376,24-363,LL-0936,"Alternator repair( replaced bearing 2nos 6303,6201), alternator belt 2nos",2024-06-11,2024-06-14,5,4579,Dekatana,
2024/6/R/377,24-364,VR-61,"checked all oil levels battery charging, wash & grease, fixed another machine fuel tank cap",2024-06-11,2024-06-14,6,2725,Port city,
2024/6/R/379,24-366,HEX-23,Replaced oil pressure sensor,2024-06-11,2024-06-13,4,20700,cep-03,
2024/6/R/380,24-368,LO-4823,"Clutch repair(replaced clutch plate new ), fuel hose damage repair, service, wash & grease",2024-06-13,2024-06-15,42,51203,Erawur,183258Km
2024/6/R/382,24-370,PT-1569,"Replaced hub seal, bearings, top up pinion oil",2024-06-13,2024-06-13,16,17206,Katana,
2024/6/R/383,24-371,LK-2276,"Repaired water leak(replaced radiator hose), wash & grease",2024-06-14,2024-06-14,10,6827,Katana,159163Km
2024/6/R/384,24-372,PH-6742,"Replaced king pin R/kit, tie rod end 2, grease cup, F/ hub bearing inner & outer L & R, brake shoe re lining F LH ,RH, shockabsorber repair F LH & RH , shock absorber bush, brake washer 8",2024-06-14,2024-06-22,31,70702,cep-03,
2024/6/R/385,24-373,RS-0483,"replaced stabilizer seal kit ,top up hy. oil",2024-06-14,2024-06-14,16,18300,Katana,
2024/6/R/386,24-374,GE-107,"service, check power Output, machine cleaning, fuel tank cleaning",2024-06-15,2024-06-18,18,8800,cep-03,
2024/6/R/387,24-375,28-4314,"replaced caliper piston 2, clutch R/kit, brake R/kit, ",2024-06-17,2024-06-20,13,22010,Badalgama,MNW
2024/6/R/388,24-376,47-5112,"Fuel system repair, cleaned fuel tank, changed fuel filter FC-1001",2024-06-17,2024-06-17,14,7050,Badalgama,299167Km
2024/6/R/389,24-377,325-5120,"adjusted brakes, gear linkage, replaced gear lever rod end 2 nos",2024-06-17,2024-06-17,7,10950,Badalgama,MNW
2024/6/R/390,24-378,LK-5041,"Adjusted gear linkage, tightened hy. hose,disemble F/fog lamp",2024-06-17,2024-06-17,5,10650,Badalgama,423266Km MNW
2024/6/R/391,24-379,PR-1469,"adjusted steering free play, wash & grease, repaired tappet cover oil leak",2024-06-18,2024-06-18,3,2800,Badalgama,MNW
2024/6/R/392,24-380,LK-2276,"replaced fuel cut off solenoid, tipper door lock repair",2024-06-18,2024-06-24,4,9710,katana,159270Km
2024/6/R/393,24-382,HEX-26,"Replaced sprocket wheel 2, bucket repair,bucket teeth, coller bush 4",2024-06-17,2024-06-22,56,167100,kilinochchi,
2024/6/R/394,24-383,HEX-41,Replaced alternator -new,2024-06-18,2024-06-18,,245000,cep-03,SSO
2024/6/R/395,24-384,LJ-5559,replaced tipping jack seal,2024-06-18,2024-06-26,22,14600,cep-03,
2024/6/R/396,24-385,325-5120,"Replaced clutch washer, gear lever rod ends",2024-06-21,2024-06-22,8,4800,Badalgama,MNW
2024/6/R/397,24-386,LN-1867,"fuel system check clean water seperator,feed pump, service",2024-06-22,2024-06-22,10,3400,kilinochchi,300419Km
2024/6/R/398,24-387,ZA-7810,"Replaced mixture cleaning water pump water seal, bearing 2 nos, reverse plug, ",2024-06-24,2024-06-26,6,10691.85,cep-03,
2024/6/R/400,24-388,MG-10,gear cable repair-ex,2024-06-24,2024-06-25,,4500,cep-03,
2024/6/R/401,24-389,HEX-41,"bucket pin filling, turning out 3nos, replaced H bushes 4, welding cutting edge for bucket, bucket welding work, pin holder",2024-06-24,2024-06-26,72,29300,cep-03,
2024/6/R/402,24-390,LI-3401,Replaced oil cooler packing,2024-06-24,2024-06-25,,1600,cep-03,SSO
2024/6/R/403,24-391,VR-12,"service,check vibration,replaced battery",2024-06-24,2024-06-25,2,40190,Port city,
2024/6/R/404,24-392,DAH-2228,"injector cleaned, diesel tank & high pressure pump cleaned,replaced fuel filter adjusted fan belt  ",2024-06-24,2024-06-25,29,52000,Batticaloa,202749Km
2024/6/R/405,24-393,LB-4824,"Starter motor repair, ",2024-06-24,2024-06-25,3,900,Katana,
2024/6/R/406,24-394,AC-37,"Accident repair(Replaced engine mount, paint items,tinkering, painting)",2024-06-24,2024-07-24,105,48030,cep-03,
2024/6/R/407,24-395,RD-3536,"changed battery, check all oil levels, brake, battery charging, starting",2024-06-24,2024-06-24,6,2100,alawwa,4983Hr
2024/6/R/407-1,24-396,LM-5720,"Accident repair, replaced clutch master cylinder, clutch slave cylinder, air hose, fuel feed pump R/kit, wash & grease, service",2024-06-24,2024-06-27,22,36580,cep-03,MNW
2024/6/R/408,24-397,LD-06,Replaced steering jack seal 2,2024-06-26,2024-06-27,12,29960,Muthur,
2024/6/R/410,24-398,PA-4879,"T-belt(replaced t-belt, adjuster, idle wheel bearing, ),PS belt, fan belt 2",2024-06-25,2024-06-27,24,32900,Muthur,
2024/6/R/411,24-400,LI-7618,"replaced king pin R/kit, clutch repair(pressure plate facing, clutch liner set,finger R/kit, clutch bearing assy.), Gear box repair(top shaft repair, counter shaft repair, top shaft seal, brass corn 1, gear box packing kit, counter shaft bearing outer,inner bearing, ) shockabsorber repair 2 nos, F/axel bearing inner 2, outer bearing 2, top shaft bearing, ball joint set, center bolt2, U bolt 2, grease seal set 2, U-joint 2 R/hub bearing 2, hub seal 2",2024-06-26,2024-07-10,18,171670,cep-03,
2024/6/R/412,24-401,LM-5723,"Clutch Repair(replaced clutch liner set, clutch bearing, pressure plate Finger R/kit, p/plate spring set, clutch fork), Gear box repair(brass corn small 2, large 1, counter shaft bearing 2, thrust washer, gasket kit, pilot bearing, main shaft oil seal, top shaft oil seal), u-joint ",2024-06-26,2024-07-15,22,129487.5,cep-03,
2024/6/R/413,24-402,47-5112,"cleaned diesel tank, changed fuel filter, removed contaminated diesel & fill new 15Ltrs, check E/starting",2024-06-26,2024-06-27,20,12855,Badalgama,299775Km
2024/6/R/414,24-403,PA-6398,"Tinkering & painting, repaired oil leak from tappet cover, wash & grease, fixed f brake caliper assy., Elec. Repair(replaced signal light LH, tail light , foot board, parking light), suspension repair(D bush 2, stabilizer bush 8, shockabsorber bush 4, strut rod bush 4, lower arm bush 2), door lock, winder assy. LH, wiper blade, starter motor contact pcs, (alternator repair, upper arm, lower arm ball joint, steering link , wheel alignment, upholstery repair, seat cusion)",2024-06-26,2024-08-29,33,186148,Serunuwara,
2024/6/R/415,24-404,Wacker & sub. Pump,"sub pump. Replaced capacitor, wacker-check clutch system,clutch housing lathening, clutch liner rough, check carb. , spark plug, check working condion",2024-06-26,2024-06-27,16,11432.5,Katana,
2024/6/R/416,24-405,28-4314,replaced fan belt 6370,2024-06-26,2024-06-26,4,2100,Badalgama,
2024/6/R/417,24-406,LM-2298,Bituman pump housing damage(repaired bituman pump),2024-06-27,2024-07-08,58,29635,cep-03,
2024/6/R/418,24-407,HU-5097,"Suspension repar(replaced upper arm  & lower arm ball joints, tie rod ends, tie rod inner ball joint, fitman arm, CV joint boot, gear box mount, 7380 belt 2nos",2024-06-27,2024-07-04,28,92405,Badalgama,
