Job no,Ref.,Vehicle,Repair Description,Start,End,Hrs,Cost,Site,Remarks
2024/6/R/419,24-407-1,LN-8279,"Claned air dryer, radiator repaired, top up hy. oil, E/oil , replaced radiator hose",2024-06-28,2024-07-12,39,69542.44,Badalgama,MNW
2024/6/R/420,24-408,PR-1469,"Replaced F/axel bearing inner,outer, hub ,hub seal",2024-06-28,2024-07-04,18,15830,Badalgama,MNW
2024/6/R/421,24-410,LP-1710,service & elec. Repair,2024-06-30,2024-06-30,4,3540,kilinochchi,
2024/6/R/424,24-413,LP-1579,Replaced fan clutch gel,2024-06-30,2024-06-30,2,7200,kilinochchi,
2024/6/R/425,24-414,ZB-1047,Starter motor repair(replaced starter relay),2024-06-30,2024-06-30,3,2100,kilinochchi,
2024/6/R/426,24-415,41-1130,"bowser tank repaired, clutch repair( replaced clutch plate, pressure plate, clutch bearing, pilot bearing), center bearing,joint mount)",2024-06-30,2024-07-11,64,81356,cep-03,224Hr
2024/6/R/427,24-416,40-2955,"check starting, change battery, clutch cylinder air bleeding",2024-06-30,2024-06-30,4,1400,Badalgama,
2024/6/R/428,24-417,PA-6399,"Replaced gear box mount, clutch fork, adjusted fan belt, clutch fork ball repair, replaced P/S belt, top up P/S oil",2024-07-01,2024-07-10,30,35055.34,Badalgama,MNW
2024/6/R/429,24-418,LO-9810,"replaced brake pads,repaired driving seat",2024-07-01,2024-07-04,4,23081.25,Badalgama,108633Km
2024/6/R/430,24-419,LN-8278,"repaired shock absorbers,top up B/oil, adjusted fan belt, changed boom cable, adjusted gear lever, repaired door winder motor",2024-07-04,2024-07-15,22,14250,Badalgama,869102Km
2024/6/R/431,24-420,LL-0936,"Replaced tail light lences, RH side mirror, accelerator cable, battery guard repair, wash & grease , top up gear oil",2024-07-04,2024-07-06,11,14421,Katana,mnw
2024/6/R/435,24-421,HEX-22,"repaired tappet cover oil leak,bucket repair, replaced hour meter, bucket teeth, elec. Repair(check engine starting by starter key switch)",2024-07-05,2024-07-10,68,91670,Thissamaharama,CAT 314C
2024/6/R/436,24-422,PJ-6376,"clutch repair(replaced clutch plate, pressure plate, clutch bearing), replaced F/LH hub bearings, brake liners, ",2024-07-04,2024-07-13,34,67209.4,Badalgama,
2024/6/R/437,24-423,LY-4524,"Replaced emergency light, center lock, door lock, tail light,AC repair",2024-07-06,2024-07-11,5,76577.5,Badalgama,831693KM
2024/6/R/439,24-424,LO-8348,"Clutch repair(Replaced clutch plate ,pressure plate, flywheel, clutch bearing, pilot bearing, clutch bearing spring)",2024-07-05,2024-07-12,61,221606,kilinochchi,MNW
2024/6/R/439-01,24-425,ZA-7968,replaced bucket tilt jack seal,2024-07-07,2024-07-08,10,28365,Gampaha bridge,11870Hr
2024/7/R/422,24-411,PD-6917,"Suspension & brake repair(Replaced balnce bar bush 2, link end ball joint 2 , balance bar link end bush 4, brake master pump )",2024-07-07,2024-07-12,,34450,cep-03,SSO
2024/7/R/423,24-412,ZA-6255,"Clutch repair(replaced clutch plate, pressure plate, top shaft bearing), gear box mount, rear all brake liners ,B/wheel cylinders 4nos, u-joint , ",2024-07-07,2024-07-17,56,100629.16,Badalgama,MNw
2024/7/R/440,24-426,GL-0019,Elec. Repair(lights),2024-07-08,2024-07-08,2,1249,Badalgama,
2024/7/R/441,24-427,HD-9005,replaced hub bolts 5nos,2024-07-08,2024-07-11,34,7100,Badalgama,
2024/7/R/452-1,24-428,LD-09,alternator repair-ex Kamal katana,2024-07-09,2024-07-12,,5300,cep-03,
2024/7/R/452-1,24-429,PH-6744,Starter motor clutch repair(replaced bearing),2024-07-09,2024-07-10,2,2470,cep-03,
2024/7/R/453,24-430,LO-4824,"Diesel mixed with E/oil, replaced injector O-rings, oil filter, changed E/oil",2024-07-10,2024-07-13,16,32700,Badalgama,66650Km
2024/7/R/454,24-431,LP-1581,"Clutch master pump R/kit, greased clutch fork, elec. Repair(replaced tail light lences, )",2024-07-12,2024-07-18,10,19670,Badalgama,83278Km
2024/7/R/456,24-435,LP-1569,Electrical repair(check lights),2024-07-08,2024-07-09,4,3100,cep-03,41961Km
2024/7/R/457,24-436,HEX-37,AC repair(expansion valve),2024-07-10,2024-07-14,,7500,cep-03,
2024/7/R/458,24-437,LO-4822,"Replaced wiper spindles, wiper blades,wash & grease, Elec. Repair(check lights)",2024-07-15,2024-07-19,17,18662,Badalgama,158103Km
2024/7/R/458-01,24-439,LA-9208,"Replaced clutch master cylinder R/kit, side mirror",2024-07-10,2024-07-18,3,7860,Badalgama,
2024/7/R/459,24-439-1,LP-1578,"AC repair(compressor, expansion valve)",2024-07-10,2024-07-16,,97175,cep-03,
2024/7/R/460,24-440,LK-4058,"replaced rear all brake liner set, dial plate, hub seal, engine stop cable, rim repair,  ",2024-07-12,2024-07-19,77,93920,cep-03,MNW
2024/7/R/461,24-441,"PE-30,39,109","replaced air filter assy. , change E/oil ",2024-07-12,2024-07-24,8,9097.5,Badalgama,
2024/7/R/462,24-452,LP-1567,"AC repair(compressor, expansion valve)",2024-07-12,2024-07-21,,97175,cep-03,
2024/7/R/463,24-452-1,SL-11,"Replaced battery, fan belt, bucket pin repair",2024-07-12,2024-08-09,15,72706.25,cep-03,
2024/7/R/464,24-453,PD-7049,"T-belt replacing,cam oil seal, turbo hose, injector holder",2024-07-14,2024-07-19,45,67595.5,solution,185253Km
2024/7/R/466,24-454,LO-9810,Adjusted & clean rear brakes,2024-07-15,2024-07-15,3,450,Badalgama,109443Km
2024/7/R/467,24-456,LC-0434,"replaced center bearing, adjusted clutch, repaired alternator wire",2024-07-15,2024-07-23,13,16096,Badalgama,396155Km
2024/7/R/468-01,24-457,LP-1711,"Replaced hub bolt Rear, elec. Repair (tail light)",2024-07-16,2024-07-17,29,23490,cep-03,55691Km
2024/7/R/469,24-458,CR-01,"Brake repair(replaced brake hose, top up brake oil seiken DOT 5)",2024-07-16,2024-07-16,17,36850,cep-03,
2024/7/R/470,24-458-1,PR-1469,"Repaired starter motor(brush holder, brush set), clutch repair(c/plate, c/bearing, p/plate, top shaft bearing",2024-07-16,2024-08-02,25,24255,Badalgama,
2024/7/R/471-01,24-459,PR-1469,Adjusted clutch cable,2024-07-16,2024-07-16,1,350,Badalgama,MNW
2024/7/R/472,24-460,PA-6399,"Replaced alternator diode plate with oil seal, tail light lence set, fuel tank cap, adjusted brakes, repaired P/S pump pin bush ",2024-07-18,2024-07-25,12,19375,Badalgama,
2024/7/R/474,24-461,51-7158,"cleaned diesel tank, pipe lines, repaired starter motor",2024-07-18,2024-07-19,10,2602,Dekatana,381544Km
2024/7/R/474-01,24-462,59-5421,"service,check brake pads,tie rod, ball joints",2024-07-18,2024-07-18,4,11251.75,kilinochchi,166117Km
2024/7/R/475,24-463,LK-5041,"changed fuel line filter, check fuel system",2024-07-18,2024-07-19,8,3500,Badalgama,
2024/7/R/476,24-464,VR-40,vibration system repair,2024-07-18,2024-07-18,4,1400,Biyagama,
2024/7/R/478,24-466,LK-2366,"Repaired drag link, silensor, buffer, R-door.",2024-07-18,2024-07-22,40,19368.5,Biyagama,MNW
2024/7/R/479,24-467,LB-4824,"repaired fuel feed pump, accelerator cable",2024-07-22,2024-07-23,6,2350,Katana,
2024/7/R/480,24-468-1,LD-05,Starter motor repair(replaced motor clutch),2024-07-22,2024-07-25,5,16350,Badalgama,
2024/7/R/481,24-469,BET-8552,"Clutch repair(Replaced clutch plates, clutch hub, pressure plate, oil filter, clutch cable)",2024-07-22,2024-07-28,12,14847.5,Gampaha bridge,15412Km
2024/7/R/482,24-470,LN-8277,"repaired cable winch motor oil leak,service",2024-07-24,2024-07-25,32,39474,cep-03,741394Km
2024/7/R/482,24-471-1,PH-0765,Starter motor repair(replaced contact pcs),2024-07-23,2024-07-23,3,1800,Katana,MNW
2024/7/R/483,24-472,57-3062,"Replaced T-belt(t-belt, belt tensioner, idler wheel, ), fuel filter, P/S belt, Alternator belt, air filter, ",2024-07-24,2024-08-14,32,49844.75,Badalgama,202239Km
2024/7/R/484,24-474,LP-1566,"AC repair(compressor, expansion valve)",2024-07-26,2024-07-28,,97175,cep-03,
2024/7/R/485,24-474-1,LI-2427,"Gear box repair(clutch bearing, main shaft bearing 2, counter shaft bearing 2,follower kit, top shaft thrust washer, oil seal 2, needle bearing 2, main shaft lock, recondition gear box, brass corn 6 ,clutch liner set, flywheel disc, ring gear wheel, pilot bearing ",2024-07-26,2024-08-20,40,388640,cep-03,
2024/7/R/486,24-475,LP-1573,"AC repair(compressor, expansion valve)",2024-07-26,2024-07-28,,97175,cep-03,
2024/7/R/487,24-476,LP-1715,"Replaced door winder assy. , tail light repair",2024-07-26,2024-07-28,7,6334,Erawur,55646Km
2024/7/R/488,24-478,ZA-2963,"replaced boom jack seal , outtriger jack seal 2, backhoe bucket jack seal , arm jack seal , multi seal , loader tilt seal , hr meter, voltage regulator,radiator reserve tank hose,wash & grease",2024-07-26,2024-08-31,66,163976.75,cep-03,0Hr
2024/7/R/489,24-479,ZA-2609,"replaced outtriger , arm jack seals, manifold packing, turbocharger, fan belt, belt adjuster, radiator cap, backhoe bucket seal kit, starter switch, u-joint, multi seal kit, loader tilt seal kit, bush 40*30, service, top up hy. Oil",2024-07-16,2024-08-10,79,313711,Ranpokunagama,
2024/7/R/490,24-480,LP-1569,"AC repair(compressor, expansion valve)",2024-07-26,2024-07-29,,97175,cep-03,
2024/7/R/491,24-481,LL-1782,"Replaced tie rod end, adjusted clutch,wash & greased",2024-07-26,2024-07-28,18,74070,Badalgama,MNW
2024/7/R/493,24-482,HEX-22,"bucket repair, replaced sprocket 2, top roller 2, track adjustment grease nipple 2, track link set 2,wash & grease,service",2024-07-27,2024-08-10,42,135444,Rattota,24Hrs
2024/7/R/494,24-482,HEX-23,"boom crack repair, arm end & bucket repair, replaced injector rubber, tappet cover packing, grease seal, idler wheel duocorn seal, idler bush, bucket jack seal kit, Undercarriage repair(top roller 4, bucket teeth5, sprocket wheel 2, repaired bucket jack shaft, repaired idler wheel -ex. ,track reapir-ex",2024-07-29,2024-08-13,344,868272.5,cep-03,20137HR
2024/7/R/495,24-483,PH-0765,replaced F/RH lower arm ball joint,2024-07-29,2024-07-30,6,13100,Katana,301608Km
2024/7/R/497-01,24-484,LH-5475,"Tightened u-bolts, top up P/S oil",2024-07-29,2024-07-29,3,1609.63,Badalgama,
2024/7/R/498,24-485,LK-5041,"Replaced diesel return line hose, wiper spindle, starter motor wire, wiper repair",2024-07-30,2024-07-31,6,5604,Badalgama,
2024/7/R/498-01,24-486,LM-7940,Starter motor repair-Ex kamal katana,2024-07-30,2024-07-31,,3500,cep-03,
2024/7/R/500,24-487,LD-09,Brake oil reserve tank replaced,2024-07-30,2024-07-30,,7000,cep-03,SSO
2024/7/R/502,24-488,ZB-2587,Replaced oil pressure sensor,2024-07-31,2024-07-31,2,42013,Ranpokunagama,1843Hr
2024/7/R/504,24-489,PJ-6376,"replaced fuel feed pump, w/sep filter, chasis filter, ",2024-07-30,2024-07-21,10,10531,Badalgama,
2024/7/R/504-01,24-490,PA-6399,"Replaced gear lever ball joint 2, fan belt 6320A, p/s belt, engine mount 2, gear selector oil seal, silensor mount 4, repaired P/S pump housing",2024-07-31,2024-08-02,21,35093.5,Badalgama,MNW
2024/7/R/505,24-491,47-5112,"changed filter head used, fuel filter",2024-08-01,2024-08-01,4,4210,Badalgama,
2024/7/R/506,24-493,LK-5041,"Replaced clutch master cylinder R/kit, hose, elec. Repair(lights)",2024-08-01,2024-08-02,11,15409,Badalgama,
2024/7/R/507,24-494,AC-41,"changed fuel filter, battery, check engine starting",2024-08-01,2024-08-07,4,36545,Badalgama,
2024/7/R/508,24-495,DAH-2228,"Replaced f/shell, elec. Repair",2024-08-01,2024-08-04,2,9600,A/team,206645KM
2024/7/R/509,24-497-1,LC-0434,"service,,replaced hub seal, elec. Repair",2024-08-02,2024-08-06,12,9669,Badalgama,
2024/7/R/510,24-498,BET-3772,chain sprocket replaced,2024-08-03,2024-08-05,3,7270,Badalgama,33050Km
2024/7/R/511,24-498-1,LN-8278,"brake repair(replaced brake washers,dust boot) ",2024-08-03,2024-08-08,34,30425,Badalgama,873307Km
2024/7/R/512,24-500,DAH-2230,"Electrical repair(Replaced head light assy. ), service, replaced wiper blades",2024-08-04,2024-08-08,6,35290,Serunuwara,216571KM
2024/7/R/513,24-502,PY-2408,"service, replaced tail light lence, wiper blades,side mirrors",2024-08-04,2024-08-05,2,5750,Badalgama,
2024/7/R/514,24-504,LP-1578,Head light repair(glass fixing)Ex,2024-08-04,2024-08-20,,1000,cep-03,
2024/7/R/515,24-504-1,SR-11,"wash & grease, elec. Repair",2024-08-12,2024-08-15,6,4600,Thissamaharama,1624Hr
2024/8/R/516,24-505,VR-62,"Wash & grease, checked hy, e/oil, battery water",2024-08-13,2024-08-14,7,7075,Badalgama,
2024/8/R/517,24-506,VR-67,"repaired vibration switch, wash & grease",2024-08-13,2024-08-14,10,9621.25,Badalgama,
2024/8/R/519,24-507,DAH-2228,"Replaced fuel filter, cleaned fuel tank, adjusted clutch",2024-08-07,2024-08-16,20,8318,Badalgama,206678KM
2024/8/R/521,24-508,TR-001,"replaced wacker shoe, check & tune up carb. Check machine working condition",2024-08-14,2024-08-18,8,15343.5,Biyagama,
2024/8/R/522,24-509,LL-0936,"Replaced clutch cylinder, hand brake cable repaired, head light repair, tightened power steering box union, repaired brake pipe,service, u-joint, joint bolt",2024-08-07,2024-08-14,27,65236.5,Mathale,
2024/8/R/524,24-510,TR-144,"replaced wacker shoe, check & tune up carb. Check machine working condition",2024-08-14,2024-08-18,11,16743.5,Biyagama,
2024/8/R/525,24-511,48-4849,replaced batteries 2,2024-08-15,2024-08-16,3,102910.01,Badalgama,
2024/8/R/530,24-512,PD-4739,Steering rack repair-ex,2024-08-07,2024-08-07,,12000,Badalgama,
2024/8/R/531,24-513,SL-02,"Repaired parking solenoid, hy.leaks, battery charging system,starter motor repair (brush set)",2024-08-10,2024-08-26,18,15700,Buttala,S130    7265Hrs
2024/8/R/532,24-514,LI-7701,air filter sent to wadakada,2024-08-09,2024-08-10,,10450,cep-03,SSO
2024/8/R/532,24-515,VR-29,"check & start Engine, changed E/oil ,air filter ",2024-08-08,2024-08-09,6,5800,Gampaha bridge,
2024/8/R/533,24-516,LI-7620,send filters & feed pump to cep-03,2024-08-10,2024-08-10,,14500,cep-03,
2024/8/R/534,24-517,325-5120,"brake repair(replaced compressor piston ring set, con rod bearing, f/diaphram 320)",2024-08-11,2024-08-14,11,14600,Badalgama,
2024/8/R/535,24-519,PC-7812,"Replaced tappet cover packing, R/brake re-lining, F/brake pads, F/hub bolts, clutch slave cylinder R/kit, steering rack repair, check wheel alignment, adhusted hand brakes",2024-08-12,2024-08-22,38,74893.59,Anuradhapura lab,289067Km
2024/8/R/536,24-521,Concrete mixer,"Engine repair(replaced gasket, crankshaft bearing, )check running condition",2024-08-15,2024-08-22,18,17782,Neluwa-solution,
2024/8/R/537,24-522,LP-1569,"change fuel filters FF-5540,2207 4770 9902",2024-08-16,2024-08-16,,11800,cep-03,SSO
2024/8/R/537,24-524,PR-1504,Replaced alternator belt,2024-08-16,2024-08-17,1,1750,Katana,MNW
2024/8/R/538,24-525,LO-4822,"Accident repair(windscreen),elec. (lights)",2024-08-17,2024-08-23,3,3166,kilinochchi,160655Km
2024/8/R/540,24-530,LN-8279,"clutch washer,check & repair starter motor, ",2024-08-17,2024-08-23,18,34580,Badalgama,MNW
2024/8/R/542,24-531,LP-1715,Replaced side door glass-accident repair-Autobacs,2024-08-18,2024-08-26,,,cep-03,
2024/8/R/543,24-532,PA-6399,"Repaired stater motor, replaced main relay",2024-08-18,2024-08-24,6,14225.5,Badalgama,
2024/8/R/544,24-532,PR-1504,"Wash & grease, signal light repair, replaced brake disc, pad, hub bearing",2024-08-20,2024-08-21,23,23400,Katana,
2024/8/R/545,24-533,47-5112,Repaired F/shockabsorber,2024-08-20,2024-08-28,7,4450,Badalgama,308656Km
2024/8/R/547,24-534,LP-1569,"adjusted clutch , brakes, wash 7 grease, change fuel filters",2024-08-20,2024-08-22,11,6439,cep-03,44612Km
2024/8/R/551,24-535,VR-68,"Wash & grease, checked hy, e/oil, battery water",2024-08-22,2024-08-22,7,6362.25,Badalgama,
2024/8/R/559,24-536,VR-49,Repaired vibration system.,2024-08-22,2024-08-26,8,2400,Dekatana,
2024/8/R/561,24-537,GE-102,Generator coil rewinding-Ex. Buddika,2024-08-26,2024-08-31,,11280,Abanpola,
2024/8/R/563,24-537,LK-5041,"check battery charging,replaced battery",2024-08-23,2024-08-23,,58480,Badalgama,MNW
2024/8/R/564,24-538,VR-48,Repaired vibration switch & elec. Repair,2024-08-23,2024-08-24,4,1395,Badalgama,
2024/8/R/565,24-540,HEX-29,Replaced track link,2024-08-26,2024-08-27,,5000,Ududumbara,
2024/8/R/567,24-542,HEX-21,"Replaced valve box pressure sensor 2, air filter, black smoke, machine slow,repaired",2024-08-26,2024-08-31,17,37750,Erawur,SK115SR
2024/8/R/568,24-543,LK-2276,"Replaced silensor packing, wash & grease",2024-08-26,2024-08-26,8,4500,Katana,
2024/8/R/570,24-544,DAH-2228,"Replaced steering u-joint 2 , fuel filter, starter motor solenoid, brush set, elec. Horn, checked clutch system",2024-08-27,2024-08-28,30,38425,Badalgama,
2024/8/R/572,24-545,HEX-18,Replace hy. pressure sensor.top up hy. oil,2024-08-28,2024-08-31,6,26250,Erawur,
2024/8/R/573,24-547,LK-2366,"Replaced clutch R/kit, lubricated accelerator cable,adjusted brakes.",2024-08-24,2024-08-30,12,10400,Biyagama,
2024/8/R/574,24-551,AC-41,"Replaced alternator recondition, check & repair electrical system, engine stopped when reduce RPM to idle speed, increase idle rpm check fuel sys., change E/oil, check battery charging",2024-08-28,2024-08-29,40,70130,Biyagama,2691Hr
2024/8/R/576,24-559,PA-6399,Starter motor repair-Ex kamal katana,2024-08-29,2024-08-30,,20700,Port city,3L
2024/8/R/579,24-561,MGS-01,"Change tyre 6, battery 2, elec. Repair",2024-08-06,2024-08-16,9,434517.74,solution,MG230
2024/8/R/582,24-563,LO-5981,"Fuel system repair(replaced fuel cut off solenoid, change fuel filters, air filter, cleaned fuel pipe lines, check feed pump), wash & grease",2024-04-22,2024-05-08,32,41115,cep-03,
2024/8/R/583,24-564,LH-5475,Starter motor repair-Ex kamal katana,2024-05-07,2024-05-08,,5500,Badalgama,
2024/8/R/586,24-565,LI-7620,Starter motor repair-Ex kamal katana,2024-04-30,2024-05-03,,19500,cep-03,
2024/8/R/587,24-567,LK-2366,"starter motor repair(replaced solenoid coil, brush set, bronze bush set), repaired fuel leak from injector pipe, hy. leak repair, spring  blade repair-ex.",2024-06-01,2024-06-04,10,21750,kadawatha,MNW
2024/8/R/589,24-568,LC-0434,"Fuel system repair(changed fuel filter, ), top up p/s oil",2024-06-03,2024-06-03,6,6198,Badalgama,mnw
2024/8/R/592,24-570,SR-06,"Alternator repair(battery not charging) replaced bearing 2, regulator, slip ring",2024-06-01,2024-06-01,6,9255,cep-03,
2024/8/R/597,24-572,325-3448,Replaced speed meter cable,2024-06-01,2024-06-01,,2680,cep-03,SSO
2024/8/R/599,24-573,PR-1504,Radiator cooling fan motor not work.checked supply current & fixed the repair,2024-06-01,2024-06-01,2,600,Katana,MNW
2024/8/R/602,24-574,CR-02,Replaced air dryer R/kit,2024-05-31,2024-06-01,4,12050,cep-03,
2024/8/R/604,24-576,"2"" water pump","Replaced air filter housing carburator,change E/oil",2024-03-06,2024-05-20,4,8350,cep-03,
2024/8/R/S-01,24-579,LY-4524,Replaced air baloon-ex,2024-01-27,2024-02-10,,136950,Badalgama,
2024/6/R/378,24-365,PTR-08,"replaced rear tyre 5 nos, wheel cylinder 3 nos, grease seal 4 nos, hub greased, replaced brake hose, wash & grease ",2024-04-26,2024-05-03,136,136210,asphalt team ,
2023/9/R/498,23-498,LD-02,"Engine repair(repaired water leak from engine head, head bolt, con rod nut), radiator cleaning, injector service",2023-10-17,2023-11-20,138,,cep-03,616Hr
2023/5/R/150,23-150,SL-12,"service(change E/oil, oil filter, fuel, air & hy filters",2023-08-15,2023-08-25,,,Badalgama,
2023/9/R/462,23-462,PTR-04,"steering pump repair, change front wheel",2023-09-12,2023-09-12,,,Badalgama,
2023/9/R/448,23-448,PTR-06,"Clutch Repair(re-lining clutch plate, replaced clutch bearing),replaced F/tyre 3 nos ",2023-09-08,2023-09-15,,,Badalgama,
2023/12/R/635,23-635,ZA-6255,Fuel system repair( change filter head),2023-12-04,2023-12-05,3,,Katana,
2024/1/R/068,24-068,LJ-8055,"F/RH hub greased, replaced all brake washers, replaced clutch booster pump, clutch master cylinder R/kit, service",2024-01-30,2024-02-08,26,,Badalgama,
2024/1/R/016,24-016,LD-05,"check elec. System, replaced A/C filters",2024-01-07,2024-02-06,6,,A/Plant ,
2023/12/R/688,23-688,RA-3052,Replaced LH brake pads,2023-12-24,2023-12-27,8,,Buttala,0Hr
2023/12/R/689,23-689,LK-6740,"Replaced P/S belt,wiper arm repair, signal lever repair, wash & grease, accelerator pedal repair",2023-12-27,2023-12-29,14,,kadawatha,
2023/12/R/642,23-642,LI-2427,"Service, replaced tipping jack seal, reverse gear wheel & bearing, tie rod end, windscreen, turbo hose, tipping bucket door pin, elec repair(check lights), silensor repair, LH door lock  repaired, changed gear oil ",2023-12-07,2024-01-02,100,,cep-03,MNW
2023/12/R/671,23-671,HEX-37,"Removed pile hammer, dissemble long arm and fixed short arm boom ,bucket",2023-12-18,2023-12-19,,,Maggona Bridge,
2023/12/R/672,23-672,HEX-41,replaced fuel cut off solenoid,2023-12-18,2023-12-19,2,,cep-03,
2023/12/R/673,23-673,LB-01,Replaced fan belt -used,2024-12-18,2023-12-20,,,Alawwa,
2023/12/R/674,23-674,ZA-2964,"Replaced king pin bearing, gease seal, pinion seal, extradig seal kit",2023-12-18,2023-12-20,,,cep-03,
2023/12/R/668,23-668,LO-8348,Brake repair(adjusted brakes),2023-12-17,2023-12-20,2,,Badalgama,55556Km
2023/12/R/665,23-665,ZA-6069,"Replaced fan belt 8PK-1835, belt adjuster (320-08651)",2023-12-15,2023-12-15,10,,Weliweriya,
2023/12/R/663,23-663,LK-2366,Brake(Air leak repair),2023-12-15,2023-12-16,,,kadawatha,
2023/10/R/547,23-547,LI-3401,"wash & grease, starter motor repair, door lock repair-auto Bacs",2023-10-28,2023-12-01,8,,Badalgama,
2023/12/R/645,23-645,PH-0765,"Hand brake cable repair, replaced speed meter cable,propellarshaft u-joint 2, gear box seal, check service, ",2023-12-08,2023-12-16,21,,Katana,300595Km
2023/12/R/641,23-641,LO-5986,"Replaced accelerator cable, side mirror, reverse horn, Elec .repair(light, wiper, alternator, s/motor)",2023-12-06,2023-12-20,8,,Badalgama,156299Km
2023/12/R/651,23-651,RA-3052,"Fuel mixed with E/oil(injector pump repair)(ex), check brakes(replaced LH brake pads), replaced tail lights, repaired oil pressure indicator ",2023-12-11,2023-12-27,16,,kadawatha,
2023/12/R/698,23-698,CR-02,Machine can't swing(valve box internal leak repair),2023-12-30,2023-12-30,18,,wadakada,
2023/12/R/697,23-697,ZA-7965,"replaced stabilizer seal kit-RH ,top up hy. oil",2023-12-30,2023-12-30,16,,Minuwangoda,
2023/12/R/695,23-695,LM-7942,"Wash & grease, service, check battery, check lights, M230090498",2023-12-29,2023-12-30,9,,cep-03,
2023/12/R/694,23-694,PH-3945,"Replaced mud cover, tail lamp lences, b/light bulb,repaired fog lamps",2023-12-29,2023-12-29,5,,H/O,
2023/12/R/638,23-638,LM-7942,"Radiator cleaning, replaced water pump, water temp. plug, adjusted brakes",2023-12-05,2023-12-11,33,,Mihinthale,178436Km
2023/12/R/643,23-643,"6"" water pump","service, clean pump impeler, repaired air filter housing & silensor, cleaned fuel tank, made starting handle, change fan belt adjuster",2023-12-08,2023-12-09,27,,Kallanchiya,
2023/7/R/335,23-335,LI-3405,"Accident(damaged to geabox completely), Clutch repair(replaced clutch plate, pressure plate, flywheel), replaced recondiotion geae box , silensor repair, deck doo & gear cable repair(change gear linkage to cables from steel shafts) , wash & grease, Engine overhaul, deck repair(welding angle iron to trans. bolders)",2023-07-25,2023-12-25,340,,cep-03,
2023/12/R/664,23-664,CR-01,"Brake repair, Emergency light repair",2023-12-15,2023-12-28,,,Badalgama,
2023/12/R/679,23-679,LO-4816,"Replaced battery, reverse plug, R/RH tail light , speed meter sensor, wash & grease, repaired park light",2023-12-20,2023-12-29,,,Erawur,173931Km
2023/12/R/686,23-686,LN-8277,Boom hy. leak repair,2023-12-19,2023-12-20,,,Katana,734557Km
2023/12/R/670,23-670,LP-1580,"check battery charging, RH door winder, tail ight, F/LH signal light",2023-12-16,2023-12-22,,,Mihinthale,50529Km
2023/12/R/632,23-632,ZB-1979,"Adjusted outtriger pads, replaced F/pinion seal, extradig pads, wash & grease, signal light repair, changed hy. filter",2023-12-02,2023-12-05,,,kadawatha,
2023/12/R/660,23-660,LP-1720,Replaced RH side mirror,2023-12-12,2023-12-12,,,Badalgama,44625Km
2023/9/R/476,23-476,Plate compactor,"replaced rubber mount, plate repair",2023-09-16,2023-11-02,,,A/team,
2023/10/R/554,23-554,ZA-7291,"check diesel leak, replaced Radiator cap, fixed ZA-8337 battery",2023-10-31,2023-10-31,4,,Doramadalawa,
2023/9/R/502,23-502,LA-9208,"Diesel pump housing bushing, check fuel delivery",2023-09-30,2023-10-04,24,,Badalgama,
2023/11/R/620,23-620,LX-1679,Replaced ramp jack union,2023-11-29,2023-11-30,5,,Badalgama,
2024/1/R/009,24-9,LO-8350,"Replaced LH wiper,ball mirror, checked RH wiper blade, brake light, number plate light, E/oil reverse horn, repaired wiper motor",2024-01-04,2024-01-10,3,,Buttala,55409Km/2362Hr
2024/1/R/004,24-4,CM,"Fixed used engine-removed from 1T roller, injector & pump repair, replaced B70 fan belt, belt pulley, air filter housing repair, greasing, change E/oil",2024-01-02,2024-01-11,28,,Badalgama,
2024/1/R/017,24-17,PH-6747,starter motor repair(replaced solenoid),2024-01-08,2024-01-08,2,,cep-03,
2023/12/R/693,23-693,57-3062,AC repair-AC baba,2023-12-29,2024-01-07,,,Badalgama,
2024/1/R/002,24-2,HEX-23,"Bucket pin bush repair, H- support repair, bucket end holes re-boring & bushing, bucket pin filling & turningout, replaced arm end bushes, H-bushes",2024-01-03,2024-01-09,65,,cep-03,Long arm
2024/1/R/001,24-1,PR-1504,"Replaced R/RH hub bearing,seal, change diff. oil, check light, wash & grease, serviced s/motor",2024-01-01,2024-01-04,13,,Katana,MNW
2024/8/R/516,24-516,47-5112,"change filter head -used, changed fuel filter FC-1821",2024-08-01,2024-08-01,4,3210,Badalgama,
2024/7/R/482,24-482,PR-1469,"Starter motor repair(brush holder, brush set), Clutch repair(replaced clutch plate, pressure plate, c/bearing,pilot bearing ), wash & grease",2024-07-16,2024-08-02,25,24255,Badalgama,163877Km
2024/8/R/517,24-517,LK-5041,"Replaced clutch master cylinder R/kit, elec. Repair (lights)",2024-08-01,2024-08-02,11,15409,Badalgama,MNW
2024/7/R/515,24-515,PA-6399,"Replaced P/S belt, fan belt 6320A 2nos, engine mount 2, gear lever ball joints, gear selector oil seal, silensor mounts 4, repaired silensor, p/s pump housing & bracket, changed gear box oil",2024-07-31,2024-08-02,21,35093.5,Badalgama,
2024/8/R/519,24-519,AC-41,"Chec kengine starting, changed fuel filter FC-1821, change battery 65A, top up E/oil 2L",2024-08-01,2024-08-07,4,36545,Biyagama,
2024/8/R/521,24-521,DAH-2228,"Replaced f/shell, elec. repair",2024-08-01,2024-08-04,2,9600,A/team,206645Km
2024/5/R/323,24-323,40-2955,"repaired radiator, steering linkage, replaced radiator fan blade, clutch master cylinder & slave cylinder R/kit, strut bar repair, check wheel alignment",2024-05-21,2024-06-29,96,48097,Badalgama,
