DATE,JOB NO,Vehicle No,DESCRIPTION,Labor cost,filter cost,oil cost,Total cost,Remarks
24.05.2025,,ZB-1521,500hr service,2400,31414,22068,55882,
25.05.2025,,57-3062,10000Km service,2800,8128,10107,21035,
25.05.2025,,LN-8278,20000Km service,3300,8208,17875,29383,
27.05.2025,,LO-7182,"gear box,pinion oil",1850,,31230,33080,
28.05.2025,,LN-8277,"gear box,pinion oil",2350,,68887,71237,
23.05.2025,,LB-01,500hr service,2600,45726,19250,67576,
10.05.2025,,68-5115,8000Km service,2050,3940,8250,14240,
23.05.2025,,ZA-7092,500hr service,2950,41675,33170,77795,
24.05.2025,,LP-1576,gear oil change only,1150,1778,14139,17067,
29.05.2025,,LI-7618,pinion oil,1700,,18662,20362,
25.05.2025,,GE-145,250Hr service,1050,,2750,3800,
10.05.2025,,AC-38,500hr service,1850,1737,11886,15473,
29.05.2025,,LI-7701,gear oil change only,1150,,12568,13718,
28.05.2025,,LO-7180,"gear box,pinion oil",1850,,31230,33080,
29.05.2025,,LC-0434,10000Km service,2900,14941,23375,41216,
31.05.2025,,LK-5586,"gear box,pinion oil",2450,,59494,61944,1684697.5
,,,2025-05-01 00:00:00,83700,502032,1098965.5,1684697.5,
02.06.2025,,LM-5719,pinion oil,1300,,18662,19962,
01.06.2025,,VR-71,500hr service,1750,13926,12375,28051,
02.06.2025,,LO-8349,10000Km service,1000,34384,53230,88614,
02.06.2025,,LP-1566,80000Km service,2700,1778,33271,37749,
02.06.2025,,LP-1720,80000Km service,1850,,31230,33080,
02.06.2025,,LP-1572,pinion oil,1300,,18662,19962,
02.06.2025,,47-5112,10000Km service,2200,2543,5500,10243,
26.06.2025,,SL-06,air filter change only,800,8925,2257.14,11982.14,
29.06.2025,,ZA-6068,500hr service,4100,47820,114839.29,166759.28999999998,
29.06.2025,,MG-06,500hr service,3850,9861,56134.5,69845.5,
29.06.2025,,ZA-8337,500hr service,3050,53370,28221.66,84641.66,
30.06.2025,,LO-4823,10000Km service,3700,18586,67821.9,90107.9,
30.06.2025,,ZB-1979,500hr service,4100,47820,114839.29,166759.28999999998,
30.06.2025,,VR-62,500hr service,2200,10070,12980,25250,
30.06.2025,,LO-8348,18000km service,3450,24506,64875.24,92831.23999999999,
30.06.2025,,MG-Thilina,oil top up,1250,8829.72,16969.52,27049.239999999998,
,,,2025-06-01 00:00:00,38600,282418.72,651868.54,972887.26,
01.07.2025,,LB-05,trans. Oil top up,275,,3329.28,3604.28,
01.07.2025,,LO-4822,500hr service,3750,17707,66248.57,87705.57,
01.07.2025,,DAH-2228,7000km service,2200,4524,9935,16659,
01.07.2025,,LP-1716,"gear box,pinion oil",1900,,41821.9,43721.9,
01.07.2025,,PA-6398,8000Km service,2200,4119,9735,16054,
01.07.2025,,PH-6744,8000Km service,2200,11410,9935,23545,
01.07.2025,,LP-1715,20000Km service,2600,32847,25960,61407,
02.07.2025,,ZB-2586,500hr service,3750,28998.5,82362.36,115110.86,
02.07.2025,,HEX-26,500hr service,4100,27238,54673,86011,
02.07.2025,,DAH-2231,fuel filter change,600,2374,,2974,
02.07.2025,,LI-3405,18000km service,2950,8860,24337.5,36147.5,
04.07.2025,,LP-1574,diff oil change only,1250,,25173.3,26423.3,
,,,,27775,138077.5,353510.91,519363.41,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
13.10.2025,,MG-15,500Hr service,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
