id,issueDate,issueDateISO,vehicleMachinery,itemName,itemDesc,qty,category,issuedTo,issuedBy,mrnNum,purchaseSource,notes,createdAt,updatedAt
43,2026-06-01,2026-06-01,DAH-2228,Engine Head Machine Work,,1.0,General Items,Anura,Priyankara,167193,,,2026-06-05T13:46:28.469Z,2026-06-05T13:46:28.469Z
44,2026-06-01,2026-06-01,LN-8279,recondition Starter Motor,,1.0,Electrical,,Priyankara,167195,,,2026-06-05T13:47:48.361Z,2026-06-05T13:47:48.361Z
45,2026-06-01,2026-06-01,PA-4879,Master Pump R/Kit,,2.0,General Items,Ruwan,Priyankara,166954,,,2026-06-05T13:49:54.472Z,2026-06-05T13:49:54.472Z
46,2026-06-01,2026-06-01,SL-15,Bobcat Lever Handle (Stainless Steel),,1.0,General Items,Thisara,Priyankara,167188,,,2026-06-05T13:50:30.559Z,2026-06-05T13:50:30.559Z
47,2026-06-01,2026-06-01,HEX-21,Paint (Green),,2.0,General Items,Nawathilaka,Priyankara,166951,,,2026-06-05T13:55:02.421Z,2026-06-05T13:55:02.421Z
48,2026-06-01,2026-06-01,HEX-21,Paint (Ash),,1.5,General Items,Nawathilaka,Priyankara,166951,,,2026-06-05T13:55:51.830Z,2026-06-05T13:55:51.830Z
49,2026-06-01,2026-06-01,HEX-21,Masking Tape,,5.0,General Items,Nawathilaka,Priyankara,166951,,,2026-06-05T13:57:24.073Z,2026-06-05T13:57:24.073Z
50,2026-06-01,2026-06-01,HEX-21,Thinner,,4.5,General Items,Nawathilaka,Priyankara,166951,,,2026-06-05T13:57:50.704Z,2026-06-05T13:57:50.704Z
51,2026-05-29,2026-05-29,CR-02,Break Oil DOT-5,,2.0,Oil & Lubricants,Chathuranga,Bandula,166958,,,2026-06-05T14:05:58.614Z,2026-06-05T14:05:58.614Z
52,2026-05-29,2026-05-29,51-7158,Power Steering Presure Hose,,1.0,Hydraulics,Krishna,Bandula,166956,,,2026-06-05T14:21:43.656Z,2026-06-05T14:22:30.364Z
53,2026-05-29,2026-05-29,51-7158,Hose Clip,,4.0,Hydraulics,Krishna,Bandula,166956,,,2026-06-05T14:22:21.007Z,2026-06-05T14:22:21.007Z
55,2026-05-29,2026-05-29,CR-02,CV Boot (Large),,2.0,General Items,Ruwan,Bandula,167173,,,2026-06-06T02:30:06.584Z,2026-06-06T02:30:06.584Z
56,2026-05-29,2026-05-29,CR-02,CV Boot Lock (Large),,4.0,General Items,Ruwan,Bandula,167173,,,2026-06-06T02:30:54.052Z,2026-06-06T02:30:54.052Z
57,2026-05-29,2026-05-29,LI-3851,Clutch Pump R/Kit (Uper),,1.0,General Items,Ruwan,Bandula,166955,,,2026-06-06T02:32:03.696Z,2026-06-06T02:32:03.696Z
58,2026-05-29,2026-05-29,LI-3851,Clutch Pump,,1.0,General Items,Ruwan,Bandula,166955,,,2026-06-06T02:33:38.579Z,2026-06-06T02:33:38.579Z
59,2026-05-29,2026-05-29,LI-3851,Gear Box Top Shaft Oil Seal,,1.0,Bearings & Seals,Ruwan,Bandula,166955,,,2026-06-06T02:34:20.467Z,2026-06-06T02:34:20.467Z
61,2026-05-29,2026-05-29,PA-4879,Brake Washer,,1.0,General Items,Anura,Bandula,166954,,,2026-06-06T02:45:02.528Z,2026-06-06T02:45:02.528Z
65,2026-06-04,2026-06-04,AC-24,Alternator Repair,,1.0,Electrical,,Priyankara,166972,,,2026-06-06T05:32:41.676Z,2026-06-06T05:32:41.676Z
66,2026-06-05,2026-06-05,41-7225,Starter Switch (Ignition),,1.0,Electrical,Krishna,Priyankara,166971,,,2026-06-06T05:33:18.876Z,2026-06-06T05:33:18.876Z
67,2026-06-05,2026-06-05,DAH-2228,Door Handle (L/R),,2.0,General Items,Nawathilaka,Priyankara,166978,,,2026-06-06T05:34:06.528Z,2026-06-06T05:34:06.528Z
