id,product_id,period,book_qty,counted_qty,variance,adjusted,note,counted_by,created_at,updated_at
54,12,2026-04,192.0,192.0,0.0,0,,1,2026-06-20 06:18:33,2026-06-20 06:18:33
55,13,2026-04,59.0,59.0,0.0,0,,1,2026-06-20 06:18:33,2026-06-20 06:18:33
56,14,2026-04,82.5,82.5,0.0,0,,1,2026-06-20 06:18:33,2026-06-20 06:18:33
57,15,2026-04,164.5,164.5,0.0,0,,1,2026-06-20 06:18:33,2026-06-20 06:18:33
58,16,2026-04,110.3,110.3,0.0,0,,1,2026-06-20 06:18:33,2026-06-20 06:18:33
59,17,2026-04,0.25,0.25,0.0,0,,1,2026-06-20 06:18:33,2026-06-20 06:18:33
60,18,2026-04,1.0,1.0,0.0,0,,1,2026-06-20 06:18:33,2026-06-20 06:18:33
61,19,2026-04,13.0,13.0,0.0,0,,1,2026-06-20 06:18:33,2026-06-20 06:18:33
62,20,2026-04,0.0,0.0,0.0,0,,1,2026-06-20 06:18:33,2026-06-20 06:18:33
63,21,2026-04,0.0,0.0,0.0,0,,1,2026-06-20 06:18:33,2026-06-20 06:18:33
